File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
15,2,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,335,345,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,3,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,345,354,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,4,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,354,364,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,5,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,364,372,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,6,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,372,382,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,7,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,382,390,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,8,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,390,397,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,9,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,397,407,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,10,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,407,417,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,11,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,417,422.6,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,12,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,422.6,432.6,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,13,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,432.6,442,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
15,14,15.0,,See Comments,Conoco,Main Tank Farm LPG # 12,6A,33.0,26.0,N,2.0,E,S2 SW NW,See,Comments,Kay,OK,Permian,,442,452,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
